OrderID,InvoiceNo,OrderDate,Year,Month,MonthName,WeekOfYear,Weekday,CustomerID,CustomerName,Region,Country,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Cost,ShippingCost,Profit,OrderPriority,Channel,ProfitMarginPct,GrossMargin
ORD10001,INV20001,2023-08-17,2023,8,Aug,33,Thursday,C1754,Customer 53,North,Bhutan,P328,Paper Model 9,Office Supplies,Paper,4,822.17,0.2,2630.94,1866.08,87.96,676.9,Low,Online,0.2573,764.86
ORD10002,INV20002,2023-03-03,2023,3,Mar,9,Friday,C1574,Customer 102,North,India,P716,Storage Model 2,Furniture,Storage,2,4851.05,0.2,7761.68,7759.09,29.11,-26.52,Medium,Online,-0.0034,2.59
ORD10003,INV20003,2024-07-23,2024,7,Jul,30,Tuesday,C1220,Customer 391,North,India,P384,Prescription Model 10,Pharmaceuticals,Prescription,1,1556.0,0.1,1400.4,1100.76,48.88,250.76,Low,Online,0.1791,299.64
ORD10004,INV20004,2025-01-05,2025,1,Jan,1,Sunday,C1549,Customer 64,East,Myanmar,P847,Paper Model 30,Office Supplies,Paper,2,1496.12,0.15,2543.4,1974.6,51.05,517.75,Low,Online,0.2036,568.8
ORD10005,INV20005,2025-01-10,2025,1,Jan,2,Friday,C1791,Customer 149,Central,India,P777,Phones Model 15,Electronics,Phones,3,279.93,0.0,839.79,614.95,25.35,199.49,High,Distributor,0.2375,224.84
ORD10006,INV20006,2025-02-17,2025,2,Feb,8,Monday,C1214,Customer 344,East,Bangladesh,P479,Paper Model 23,Office Supplies,Paper,3,1557.84,0.1,4206.17,2707.38,71.58,1427.21,Medium,Retail,0.3393,1498.79
ORD10007,INV20007,2023-05-27,2023,5,May,21,Saturday,C1276,Customer 328,Central,India,P573,Chairs Model 25,Furniture,Chairs,2,220.22,0.2,352.35,362.39,33.29,-43.33,Low,Online,-0.123,-10.04
ORD10008,INV20008,2023-04-25,2023,4,Apr,17,Tuesday,C1216,Customer 291,South,India,P374,Writing Model 5,Office Supplies,Writing,4,4849.44,0.1,17457.98,15179.52,94.55,2183.91,Low,Online,0.1251,2278.46
ORD10009,INV20009,2025-07-28,2025,7,Jul,31,Monday,C1551,Customer 135,South,Sri Lanka,P862,Chairs Model 36,Furniture,Chairs,3,1020.12,0.2,2448.29,1724.72,39.28,684.29,Medium,Retail,0.2795,723.57
ORD10010,INV20010,2025-01-11,2025,1,Jan,2,Saturday,C1881,Customer 57,South,India,P873,OTC Model 4,Pharmaceuticals,OTC,3,1440.63,0.05,4105.8,3080.68,22.68,1002.44,Medium,Retail,0.2442,1025.12
ORD10011,INV20011,2025-05-14,2025,5,May,20,Wednesday,C1541,Customer 129,Central,India,P710,Prescription Model 30,Pharmaceuticals,Prescription,3,1033.64,0.2,2480.74,1710.64,83.39,686.71,High,Online,0.2768,770.1
ORD10012,INV20012,2023-08-23,2023,8,Aug,34,Wednesday,C1161,Customer 233,Central,India,P400,Paper Model 28,Office Supplies,Paper,3,1824.41,0.0,5473.23,3200.53,87.68,2185.02,Critical,Distributor,0.3992,2272.7
ORD10013,INV20013,2024-06-23,2024,6,Jun,25,Sunday,C1519,Customer 312,Central,India,P405,Accessories Model 41,Electronics,Accessories,2,1589.36,0.05,3019.78,2058.4,75.66,885.72,Low,Retail,0.2933,961.38
ORD10014,INV20014,2023-01-02,2023,1,Jan,1,Monday,C1899,Customer 158,Central,India,P214,OTC Model 24,Pharmaceuticals,OTC,3,3580.56,0.05,10204.6,8359.56,60.51,1784.53,Low,Distributor,0.1749,1845.04
ORD10015,INV20015,2023-06-11,2023,6,Jun,23,Sunday,C1784,Customer 65,North,Bhutan,P878,OTC Model 35,Pharmaceuticals,OTC,4,584.06,0.05,2219.43,1306.96,67.28,845.19,Medium,Distributor,0.3808,912.47
ORD10016,INV20016,2023-12-05,2023,12,Dec,49,Tuesday,C1747,Customer 354,East,Myanmar,P652,OTC Model 49,Pharmaceuticals,OTC,3,2081.4,0.05,5931.99,4849.65,30.59,1051.75,Medium,Online,0.1773,1082.34
ORD10017,INV20017,2025-02-03,2025,2,Feb,6,Monday,C1065,Customer 174,West,Oman,P353,OTC Model 15,Pharmaceuticals,OTC,1,848.05,0.0,848.05,702.96,82.73,62.36,Medium,Online,0.0735,145.09
ORD10018,INV20018,2024-03-27,2024,3,Mar,13,Wednesday,C1880,Customer 170,North,India,P169,Phones Model 3,Electronics,Phones,5,4046.83,0.0,20234.15,16568.28,38.62,3627.25,Medium,Online,0.1793,3665.87
ORD10019,INV20019,2025-09-21,2025,9,Sep,38,Sunday,C1484,Customer 125,South,Maldives,P684,Storage Model 37,Furniture,Storage,1,2164.18,0.15,1839.55,1721.4,87.47,30.68,High,Online,0.0167,118.15
ORD10020,INV20020,2023-07-18,2023,7,Jul,29,Tuesday,C1055,Customer 345,West,UAE,P578,Prescription Model 47,Pharmaceuticals,Prescription,1,2578.2,0.0,2578.2,1740.86,29.99,807.35,Low,Retail,0.3131,837.34
ORD10021,INV20021,2023-08-12,2023,8,Aug,32,Saturday,C1432,Customer 94,South,India,P559,Storage Model 9,Furniture,Storage,1,4717.4,0.1,4245.66,3051.97,56.69,1137.0,Medium,Distributor,0.2678,1193.69
ORD10022,INV20022,2023-06-04,2023,6,Jun,22,Sunday,C1856,Customer 8,West,Oman,P767,Phones Model 35,Electronics,Phones,5,1539.35,0.0,7696.75,4890.92,13.32,2792.51,High,Retail,0.3628,2805.83
ORD10023,INV20023,2023-12-07,2023,12,Dec,49,Thursday,C1924,Customer 31,West,UAE,P985,OTC Model 26,Pharmaceuticals,OTC,2,1429.3,0.05,2715.67,2351.14,31.56,332.97,Low,Distributor,0.1226,364.53
ORD10024,INV20024,2024-06-27,2024,6,Jun,26,Thursday,C1677,Customer 368,West,UAE,P848,Supplement Model 36,Pharmaceuticals,Supplement,3,3377.07,0.15,8611.53,7887.0,31.39,693.14,Low,Online,0.0805,724.53
ORD10025,INV20025,2023-04-30,2023,4,Apr,17,Sunday,C1488,Customer 258,Central,India,P151,Paper Model 38,Office Supplies,Paper,5,4184.75,0.2,16739.0,13521.64,26.79,3190.57,Low,Distributor,0.1906,3217.36
ORD10026,INV20026,2023-06-14,2023,6,Jun,24,Wednesday,C1413,Customer 62,South,India,P982,Accessories Model 16,Electronics,Accessories,1,2974.92,0.2,2379.94,2240.92,11.49,127.53,Low,Retail,0.0536,139.02
ORD10027,INV20027,2023-06-17,2023,6,Jun,24,Saturday,C1733,Customer 161,West,Oman,P309,Writing Model 43,Office Supplies,Writing,3,3470.14,0.05,9889.9,6933.55,94.31,2862.04,Low,Online,0.2894,2956.35
ORD10028,INV20028,2024-09-06,2024,9,Sep,36,Friday,C1576,Customer 52,West,UAE,P569,Phones Model 40,Electronics,Phones,1,611.69,0.0,611.69,506.12,88.96,16.61,Medium,Retail,0.0272,105.57
ORD10029,INV20029,2023-09-29,2023,9,Sep,39,Friday,C1448,Customer 279,East,India,P391,Tables Model 11,Furniture,Tables,4,1247.17,0.1,4489.81,2883.11,90.75,1515.95,Medium,Distributor,0.3376,1606.7
ORD10030,INV20030,2023-01-17,2023,1,Jan,3,Tuesday,C1911,Customer 55,Central,India,P370,Phones Model 8,Electronics,Phones,4,4490.7,0.2,14370.24,14659.91,80.19,-369.86,Low,Online,-0.0257,-289.67
ORD10031,INV20031,2024-03-07,2024,3,Mar,10,Thursday,C1927,Customer 27,East,India,P600,Binders Model 17,Office Supplies,Binders,2,4497.84,0.0,8995.68,6584.2,10.83,2400.65,Medium,Retail,0.2669,2411.48
ORD10032,INV20032,2023-04-01,2023,4,Apr,13,Saturday,C1759,Customer 227,North,Nepal,P368,Storage Model 11,Furniture,Storage,2,846.0,0.2,1353.6,1209.14,72.27,72.19,Medium,Retail,0.0533,144.46
ORD10033,INV20033,2023-08-18,2023,8,Aug,33,Friday,C1596,Customer 283,North,Bhutan,P136,Storage Model 24,Furniture,Storage,3,1660.73,0.05,4733.08,3855.95,68.47,808.66,Medium,Online,0.1709,877.13
ORD10034,INV20034,2025-01-16,2025,1,Jan,3,Thursday,C1105,Customer 182,North,Nepal,P355,Storage Model 43,Furniture,Storage,3,1870.19,0.2,4488.46,3532.19,31.96,924.31,High,Online,0.2059,956.27
ORD10035,INV20035,2023-11-13,2023,11,Nov,46,Monday,C1754,Customer 171,South,India,P125,Tables Model 12,Furniture,Tables,6,2487.96,0.15,12688.6,9084.63,75.02,3528.95,High,Distributor,0.2781,3603.97
ORD10036,INV20036,2024-05-23,2024,5,May,21,Thursday,C1879,Customer 241,East,India,P993,Laptops Model 3,Electronics,Laptops,1,3245.09,0.05,3082.84,1957.22,94.64,1030.98,Low,Distributor,0.3344,1125.62
ORD10037,INV20037,2024-12-17,2024,12,Dec,51,Tuesday,C1408,Customer 169,East,India,P775,Chairs Model 13,Furniture,Chairs,3,4645.18,0.1,12541.99,9454.64,97.0,2990.35,High,Distributor,0.2384,3087.35
ORD10038,INV20038,2024-07-25,2024,7,Jul,30,Thursday,C1339,Customer 15,East,Myanmar,P963,Supplement Model 35,Pharmaceuticals,Supplement,5,888.99,0.0,4444.95,3187.21,94.25,1163.49,High,Online,0.2618,1257.74
ORD10039,INV20039,2024-06-27,2024,6,Jun,26,Thursday,C1446,Customer 311,North,India,P846,Prescription Model 21,Pharmaceuticals,Prescription,2,3094.29,0.2,4950.86,5241.83,22.61,-313.58,Low,Distributor,-0.0633,-290.97
ORD10040,INV20040,2024-01-25,2024,1,Jan,4,Thursday,C1703,Customer 369,East,India,P632,OTC Model 35,Pharmaceuticals,OTC,6,4056.34,0.05,23121.14,19300.89,88.04,3732.21,Low,Online,0.1614,3820.25
ORD10041,INV20041,2024-11-07,2024,11,Nov,45,Thursday,C1316,Customer 342,Central,India,P407,Accessories Model 33,Electronics,Accessories,8,1909.14,0.15,12982.15,8830.84,62.05,4089.26,Low,Retail,0.315,4151.31
ORD10042,INV20042,2023-09-18,2023,9,Sep,38,Monday,C1630,Customer 292,South,Sri Lanka,P866,Supplement Model 12,Pharmaceuticals,Supplement,1,2354.71,0.1,2119.24,1678.42,35.79,405.03,Medium,Retail,0.1911,440.82
ORD10043,INV20043,2024-09-14,2024,9,Sep,37,Saturday,C1329,Customer 239,East,India,P721,Supplement Model 42,Pharmaceuticals,Supplement,1,234.87,0.15,199.64,187.14,42.42,-29.92,Medium,Online,-0.1499,12.5
ORD10044,INV20044,2025-08-27,2025,8,Aug,35,Wednesday,C1648,Customer 318,South,Maldives,P627,Laptops Model 43,Electronics,Laptops,3,3133.31,0.1,8459.94,5410.64,14.65,3034.65,Low,Distributor,0.3587,3049.3
ORD10045,INV20045,2024-04-26,2024,4,Apr,17,Friday,C1250,Customer 244,East,India,P125,Chairs Model 3,Furniture,Chairs,6,3986.17,0.2,19133.62,15097.61,49.51,3986.5,High,Online,0.2084,4036.01
